repo,url,intentZh,intentEn,category,isDsh,language,tech,keyDeps,stars,forks,sizeBytes,sizeHuman,created,updated,license,openIssues,compat,cloned,needsReview,lists,signals
"omdsh-dev/dsh-hub","https://github.com/omdsh-dev/dsh-hub","（无描述，占位）","(no description, placeholder)","utility","yes","JavaScript","JavaScript, esm","","3","0","500257","489KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-host-webserver; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"litestartup-com/litestartup-skills","https://github.com/litestartup-com/litestartup-skills","发布博客/文档/网站的 skills。","Skills for publishing blog/docs/website.","skills","no","Shell","Shell","","3","1","120783","118KB","2026-06-11","2026-08-13","MIT","0","unknown","yes","false","watch",""
"RYun601/dsh-launcher","https://github.com/RYun601/dsh-launcher","Windows 下 DeepSeek Harness Web 的启动与管理工具。","Windows launcher & manager for DeepSeek Harness web.","utility","yes","PowerShell","PowerShell","","3","0","65180","64KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","readme-mentions-dsh"
"longyu065/dsh-desktop","https://github.com/longyu065/dsh-desktop","DeepSeek Harness Web GUI 的桌面壳（自动更新）。","Desktop shell for DSH Web GUI (auto-updating).","utility","yes","JavaScript","JavaScript","","3","0","465494","455KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","readme-mentions-dsh"
"moduqishi/GrassVison","https://github.com/moduqishi/GrassVison","给 DeepSeek 等纯文本大模型外挂图像理解。","Add image understanding to DeepSeek-class text models.","llm","yes","Python","Python","","3","1","3700775","3.5MB","2026-06-05","2026-08-14","unknown","0","unknown","yes","false","watch","readme-mentions-dsh"
"morluto/gitcontribute","https://github.com/morluto/gitcontribute","面向 agent 的贡献研究：检查仓库历史。","Contribution research for agents: check repo history.","tools","no","Go","Go","","3","0","5897739","5.6MB","2026-07-16","2026-08-13","MIT","7","unknown","yes","false","watch",""
"morluto/smokinggun","https://github.com/morluto/smokinggun","帮 agent 找到它们寻找的 smoking gun。","Help agents find the smoking gun they're after.","tools","no","TypeScript","TypeScript, typescript, vite, esm, ts-build","","3","0","26779746","25.5MB","2026-08-05","2026-08-13","MIT","1","unknown","yes","false","watch",""
"paean-ai/8x-skills","https://github.com/paean-ai/8x-skills","8x skills 技能集。","8x skills collection.","skills","no","JavaScript","JavaScript","","3","1","409701","400KB","2026-06-24","2026-08-13","MIT","0","unknown","yes","false","watch",""
"zevorn/dsh-humanize","https://github.com/zevorn/dsh-humanize","(无描述)","(no description)","tools","yes","Shell","Shell, esm","","3","0","2352287","2.2MB","2026-08-09","2026-08-14","unknown","0","unknown","yes","false","watch","cordis.patch.yml; readme-mentions-dsh"
"sakikoTGW/pack-agent","https://github.com/sakikoTGW/pack-agent","Agent Modpack — 像装 MC 整合包一样，装你的 agent。","pack-agent — DSH plugin (orchestration)","orchestration","yes","TypeScript","TypeScript, esm","","3","0","1072278","1.0MB","2026-06-24","2026-08-14","MIT","0","unknown","yes","false","watch","keyword-plugin; keyword-dsh; readme-mentions-dsh"
"openma-ai/deepseek-harness-typescript-sdk","https://github.com/openma-ai/deepseek-harness-typescript-sdk","deepseek-harness-typescript-sdk — DSH 插件（其他）","TypeScript SDK for DeepSeek Harness (dsh) — drive AI agent turns in a runtime subprocess over JSON-RPC stdio. Mirrors the official Python S…","utility","yes","TypeScript","TypeScript, typescript, vite, esm, ts-build","","3","0","186845","182KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","watch","keyword-plugin; readme-mentions-dsh"
"hashdiana/dsh-token-usage","https://github.com/hashdiana/dsh-token-usage","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, dsh-session, react, typescript, vite, esm, ts-build","","3","0","476793","466KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-session-projection; @deepseek-ai/dsh-session-stats; @deepseek-ai/dsh-token-meter; readme-mentions-dsh"
"xiaoshihou514/dsh-tui","https://github.com/xiaoshihou514/dsh-tui","dsh-tui — DSH 插件（其他）","DeepSeek Harness: TUI","utility","yes","TypeScript","TypeScript, dsh-session, react, typescript, vite, esm, ts-build","@deepseek-ai/schemastery, react","3","0","869262","849KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/cordis-plugin-loader; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-agent-default-model; @deepseek-ai/dsh-attachment; @deepseek-ai/dsh-cmdline; @deepseek-ai/dsh-code-runtime-worker-thread; @deepseek-ai/dsh-commands; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-projection-cache; @deepseek-ai/dsh-session-stats; @deepseek-ai/dsh-session-title; @deepseek-ai/dsh-storage; @deepseek-ai/dsh-storage-domain; @deepseek-ai/dsh-storage-json; @deepseek-ai/dsh-user-approval; @deepseek-ai/dsh-user-questions; @deepseek-ai/dsh-workspace; readme-mentions-dsh"
"jiruidai/dsh-meta-orchestrator","https://github.com/jiruidai/dsh-meta-orchestrator","dsh-meta-orchestrator — DSH 插件（其他）","A model-native meta-agent plugin for DeepSeek Harness that uses the underlying model’s reasoning and planning capabilities to synthesize ta…","utility","yes","TypeScript","TypeScript, dsh-tools, dsh-session, typescript, vite, esm, ts-build","","3","0","186469","182KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-storage; @deepseek-ai/dsh-storage-domain; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"TYEclipse/dsh-webfetch","https://github.com/TYEclipse/dsh-webfetch","dsh-webfetch — DSH 插件（其他）","Web page reader for DeepSeek Harness (dsh): fetch any URL and extract clean Markdown / plain text plus a link inventory - zero runtime depe…","utility","yes","TypeScript","TypeScript, dsh-tools, typescript, vite, esm, ts-build","","3","0","114706","112KB","2026-08-13","2026-08-14","MIT","1","unknown","yes","false","watch","@deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-tools; @deepseek-ai/schemastery; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"krislavten/ai-sdk-provider-dsh","https://github.com/krislavten/ai-sdk-provider-dsh","ai-sdk-provider-dsh — DSH 插件（其他）","AI SDK provider that drives a DeepSeek Harness (dsh) runtime as a LanguageModelV3 — works on AI SDK v6 and v7","utility","yes","TypeScript","TypeScript, dsh-session, typescript, vite, esm, ts-build","@deepseek-ai/dsh-agent-spine-demo, @deepseek-ai/dsh-bash-local, @deepseek-ai/dsh-compaction-basic, @deepseek-ai/dsh-fs-local, @deepseek-ai/dsh-fs-observation-policy, @deepseek-ai/dsh-invariants, @deepseek-ai/dsh-llm, @deepseek-ai/dsh-llm-deepseek","3","0","341147","333KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","@deepseek-ai/dsh-agent-spine-demo; @deepseek-ai/dsh-bash-local; @deepseek-ai/dsh-compaction-basic; @deepseek-ai/dsh-fs-local; @deepseek-ai/dsh-fs-observation-policy; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-llm-deepseek; @deepseek-ai/dsh-sdk-client; @deepseek-ai/dsh-sdk-jsonrpc-demo; @deepseek-ai/dsh-sdk-jsonrpc-server; @deepseek-ai/dsh-sdk-protocol; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-checkpoint-policy; @deepseek-ai/dsh-session-persistence-jsonl; @deepseek-ai/dsh-subagent; @deepseek-ai/dsh-subprocess-local; @deepseek-ai/dsh-token-meter; @deepseek-ai/dsh-tool-fs; @deepseek-ai/dsh-tool-subagent; @deepseek-ai/dsh-tool-todo; @deepseek-ai/dsh-llm-replay; keyword-plugin; readme-mentions-dsh"
"PerryLink/dsh-skill-pack-security","https://github.com/PerryLink/dsh-skill-pack-security","dsh-skill-pack-security — DSH 插件（其他）","Security-audit skill pack for DeepSeek Harness (dsh): 5 agent skills - secret scan, dependency audit, supply-chain review, prompt-injection…","utility","yes","TypeScript","TypeScript","","3","0","410825","401KB","2026-08-13","2026-08-14","Apache-2.0","5","unknown","yes","false","watch","readme-mentions-dsh"
"Hyperionjust/dsh-tool-underseal","https://github.com/Hyperionjust/dsh-tool-underseal","(无描述)","(no description)","tools","yes","Python","Python, dsh-tools, typescript, esm, ts-build","@deepseek-ai/schemastery","3","0","316772","309KB","2026-08-13","2026-08-14","Apache-2.0","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-subprocess; @deepseek-ai/dsh-tools; keyword-plugin; readme-mentions-dsh"
"akira399/dsh-plugin-publisher","https://github.com/akira399/dsh-plugin-publisher","dsh-plugin-publisher — DSH 插件（其他）","dsh-plugin-publisher — a DSH plugin (miscellaneous).","utility","yes","JavaScript","JavaScript, esm","","3","0","67259","66KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; readme-mentions-dsh"
"AdamPlatin123/dsh-tonghuashun","https://github.com/AdamPlatin123/dsh-tonghuashun","DSH harness 客户端插件：同花顺行情终端风格皮肤 + 代码量 K 线行情面板（ui-skin-ths + ui-market）","dsh-tonghuashun — DSH plugin (utility)","utility","yes","TypeScript","TypeScript","","3","0","242884","237KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","watch","readme-mentions-dsh"
"omdsh-dev/dsh-voice-funasr","https://github.com/omdsh-dev/dsh-voice-funasr","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","","3","1","158577","155KB","2026-08-13","2026-08-14","MIT","4","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-agent-default-model; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-subprocess; @deepseek-ai/schemastery; readme-mentions-dsh"
"KhanZou/Deepseek-Harness-as-Desktop","https://github.com/KhanZou/Deepseek-Harness-as-Desktop","Deepseek-Harness-as-Desktop — DSH 插件（其他）","Turn DeepSeek Harness into a Codex-style desktop app: native WebView2 shell, system tray, auto-start, Windows toasts, and a Desktop setting…","utility","yes","JavaScript","JavaScript","","3","0","1428493","1.4MB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","readme-mentions-dsh"
"rxa3c/chat2skill","https://github.com/rxa3c/chat2skill","chat2skill — DSH 插件（技能）","Extracting and iterating skills from daily conversations with AI","skills","yes","Python","Python, esm","@deepseek-ai/dsh-settings, @deepseek-ai/schemastery","3","0","584591","571KB","2026-06-10","2026-08-14","MIT","0","unknown","yes","false","watch","@deepseek-ai/dsh-settings; @deepseek-ai/schemastery; readme-mentions-dsh"
"omdsh-dev/dsh-paddle-ocr","https://github.com/omdsh-dev/dsh-paddle-ocr","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","","3","0","366898","358KB","2026-08-13","2026-08-14","BSD-3-Clause","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-credentials; @deepseek-ai/dsh-fs; @deepseek-ai/dsh-host-apiproxy; @deepseek-ai/dsh-host-webserver; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-api-remotes; @deepseek-ai/dsh-client-locale; @deepseek-ai/schemastery; cordis-dep:cordis; readme-mentions-dsh"
"PeanutsDou/peanut-dsh-plugin","https://github.com/PeanutsDou/peanut-dsh-plugin","PeanutsDou 的 DeepSeek Harness 插件合集：dsh-launcher 桌面壳等个人维护插件","peanut-dsh-plugin — DSH plugin (utility)","utility","yes","TypeScript","TypeScript","","3","0","175285","171KB","2026-08-13","2026-08-14","unknown","0","unknown","yes","false","watch","readme-mentions-dsh"
"TecFancy/dsh-deeptutor","https://github.com/TecFancy/dsh-deeptutor","dsh-deeptutor — DSH 插件（其他）","dsh-deeptutor — a DSH plugin (miscellaneous).","utility","yes","TypeScript","TypeScript, dsh-tools, typescript, esm, ts-build","","3","0","901808","881KB","2026-08-13","2026-08-14","unknown","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"omdsh-dev/dsh-daily-progress","https://github.com/omdsh-dev/dsh-daily-progress","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, typescript, esm, ts-build","","3","0","50961","50KB","2026-08-13","2026-08-14","BSD-3-Clause","0","unknown","yes","false","watch","cordis.patch.yml; readme-mentions-dsh"
"omdsh-dev/dsh-ernie-image","https://github.com/omdsh-dev/dsh-ernie-image","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, react, typescript, esm, ts-build","","3","0","145835","142KB","2026-08-13","2026-08-14","BSD-3-Clause","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-attachment; @deepseek-ai/dsh-credentials; @deepseek-ai/dsh-host-apiproxy; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-settings; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/schemastery; readme-mentions-dsh"
"dongsheng123132/dsh-benchmark","https://github.com/dongsheng123132/dsh-benchmark","(无描述)","(no description)","tools","yes","JavaScript","JavaScript, esm","","3","0","53555","52KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"anweat/dsh-plugin-dev-guide","https://github.com/anweat/dsh-plugin-dev-guide","dsh-plugin-dev-guide — DSH 插件（其他）","DSH (DeepSeek Harness) plugin development & publishing guide: from first plugin to auto-publish to the community","utility","yes","JavaScript","JavaScript","","3","0","62637","61KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","readme-mentions-dsh"
"gnulife/dsh-plugin-wechat","https://github.com/gnulife/dsh-plugin-wechat","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, dsh-session, typescript, esm, ts-build","","3","1","74039","72KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-agent-default-model; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-scope; @deepseek-ai/dsh-session; @deepseek-ai/dsh-system-prompt; @deepseek-ai/dsh-typert-protocol; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"dongsheng123132/dsh-release-proof","https://github.com/dongsheng123132/dsh-release-proof","(无描述)","(no description)","tools","yes","JavaScript","JavaScript, dsh-tools, esm","","3","0","71837","70KB","2026-08-13","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-tools; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"STARDUSTLC666/dsh-calendar","https://github.com/STARDUSTLC666/dsh-calendar","(无描述)","(no description)","tools","yes","JavaScript","JavaScript, typescript, esm, ts-build","","3","0","31407395","30.0MB","2026-08-13","2026-08-14","unknown","0","unknown","yes","false","watch","cordis.patch.yml; keyword-plugin; readme-mentions-dsh"
"sala003/dsh-tool-describe-image","https://github.com/sala003/dsh-tool-describe-image","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, dsh-tools, react, typescript, esm, ts-build","@deepseek-ai/dsh-tools, @deepseek-ai/dsh-fs, @deepseek-ai/schemastery","3","0","73524","72KB","2026-08-13","2026-08-13","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-tools; @deepseek-ai/dsh-fs; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-slots; keyword-plugin; readme-mentions-dsh"
"Leeaoyin/dr-agent-skills","https://github.com/Leeaoyin/dr-agent-skills","面向 AI 编码智能体的结构化、可复用技能模块——覆盖工程工作流、可靠性评估与生产就绪。","Structured, reusable skill modules for AI coding agents — covering engineering workflows, reliability evaluation, and production readiness.","orchestration","no","unknown","unknown","","3","0","102378","100KB","2026-06-30","2026-08-14","unknown","0","unknown","yes","false","watch",""
"WindLX/paper_plane_x","https://github.com/WindLX/paper_plane_x","Paper Plane X 是一个面向科研阅读、论文处理和综述写作的本地优先工作台。它把 PDF 解析、结构化论文抽取、事实核查、项目文件、文献检索和外部 Agent 工具串成一条可复用的研究流水线。","Paper Plane X is a local-first workbench for research reading, paper processing, and review writing. It chains PDF parsing, structured paper extraction, fact-checking, project files, literature search, and external agent tools into a reusable research pipeline.","orchestration","yes","Python","Python","","3","1","1228827","1.2MB","2026-05-04","2026-08-14","AGPL-3.0","0","unknown","yes","false","watch","readme-mentions-dsh"
"LvienOeria/dsh-launcher","https://github.com/LvienOeria/dsh-launcher","一个轻量的 dsh（DeepSeek Harness）插件：安装一个终端命令，输入 dsh-go 即可启动 harness 并自动打开浏览器。零依赖，约 9 KB。（桌面双击版在独立的 dsh-desktop-launcher 包）","A lightweight dsh (DeepSeek Harness) plugin: installs a terminal command so typing `dsh-go` launches the harness and auto-opens the browser. Zero dependencies, ~9 KB. (The desktop double-click edition lives in a separate dsh-desktop-launcher package.)","utility","yes","JavaScript","JavaScript, esm","","3","0","29581","29KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; keyword-plugin; readme-mentions-dsh"
"Wanbinyu/dsh-billing","https://github.com/Wanbinyu/dsh-billing","DeepSeek Harness Web 本地计费与用量插件，按模型展示估算费用、Token 使用量、会话额度和输入区费用进度。数据保留在本地，费用仅供参考，不替代服务商账单。","A local usage and cost plugin for DeepSeek Harness Web. It shows estimated per-model cost, token usage, session quota, and composer cost progress. Data stays local; estimates do not replace provider billing.","utility","yes","TypeScript","TypeScript","","3","0","307988","301KB","2026-08-14","2026-08-25","MIT","0","unknown","yes","false","plugin","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-primitives; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-projection; keyword-dsh; dsh-plugin-topic"
"zhang66633/dsh-plugin-installer","https://github.com/zhang66633/dsh-plugin-installer","(无描述)","(no description)","tools","yes","JavaScript","JavaScript, esbuild, esm","","3","0","553082","540KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-skill; readme-mentions-dsh"
"Ruler4396/dsh-launcher-lifetime","https://github.com/Ruler4396/dsh-launcher-lifetime","DeepSeek Harness（dsh）插件：为 dsh-launcher 外壳控制 dsh 服务的生命周期（常驻 / 托盘 / 跟随窗口）","DeepSeek Harness (dsh) plugin: control the dsh service lifetime (always-on / tray / follow-window) for the dsh-launcher shell","utility","yes","TypeScript","TypeScript, esbuild, esm","","3","0","65334","64KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-client-ui-settings; keyword-plugin; readme-mentions-dsh"
"MoneShadow/DeepSeek-Harness-linux-","https://github.com/MoneShadow/DeepSeek-Harness-linux-","一个基于官方WebUI二改的Linux桌面端，内置了一个外挂视觉插件(需手动接入API Key)，已经迭代了四个版本，可能还是有些小毛病，不过目前用下来暂时没有什么大问题。","A Linux desktop client forked from the official WebUI, with a bundled external vision plugin (requires manual API Key). Now in its fourth iteration; may still have minor issues, but works fine in practice so far.","llm","yes","JavaScript","JavaScript","","3","0","431899","422KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","readme-mentions-dsh"
"Seryta/dsh-node-nav","https://github.com/Seryta/dsh-node-nav","对话节点导航：DSH Web GUI 右侧节点串，hover 预览、点击跳转、active 药丸跟随阅读位置","Conversation node navigation: a node string on the right of the DSH Web GUI with hover preview, click-to-jump, and an active pill that follows your reading position.","utility","yes","JavaScript","JavaScript, esm","","3","1","1113238","1.1MB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; readme-mentions-dsh"
"agent-plaza/agent-plaza","https://github.com/agent-plaza/agent-plaza","AI 智能体的零注册公共空间——HTTP API + Agent Skill（Codex、Cursor、Hermes）","Zero-signup public commons for AI agents — HTTP API + Agent Skill (Codex, Cursor, Hermes)","orchestration","yes","TypeScript","TypeScript, typescript, esbuild, vite, esm, ts-build","","3","0","2340181","2.2MB","2026-08-12","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"JeremyGuo/dsh-custom-workspace","https://github.com/JeremyGuo/dsh-custom-workspace","DeepSeek Harness Web 的按工作区外观设置","Per-workspace appearance settings for DeepSeek Harness Web","utility","yes","TypeScript","TypeScript, react, playwright, typescript, vite, esm, ts-build","@deepseek-ai/dsh-settings, @deepseek-ai/schemastery","3","0","520499","508KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-settings; @deepseek-ai/schemastery; @deepseek-ai/cordis; @deepseek-ai/dsh-client-connection; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-settings; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-invariants; @deepseek-ai/dsh-host-apiproxy; @deepseek-ai/dsh-host-webserver; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"MoonShadow1976/chiral-pulse","https://github.com/MoonShadow1976/chiral-pulse","(无描述)","(no description)","tools","yes","TypeScript","TypeScript, dsh-session, react, typescript, esm, ts-build","","3","0","762781","745KB","2026-08-14","2026-08-15","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/dsh-client-locale; @deepseek-ai/dsh-client-runtime; @deepseek-ai/dsh-client-ui-conversation; @deepseek-ai/dsh-client-ui-slots; @deepseek-ai/dsh-session-stats; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"pig1et7/DeepSeek-Harness-Desktop","https://github.com/pig1et7/DeepSeek-Harness-Desktop","(无描述)","(no description)","tools","yes","JavaScript","JavaScript","","3","0","580046","566KB","2026-08-14","2026-08-14","unknown","0","unknown","yes","false","watch","readme-mentions-dsh"
"cyzlmh/dsh-cyber-sec","https://github.com/cyzlmh/dsh-cyber-sec","DeepSeek Harness 的授权安全评估 Profile：有界网络工具、容器支撑的 shell、授权守卫、持久证据…","Authorized security-assessment profile for DeepSeek Harness: scoped network tools, container-backed shell, authorization guard, durable evidence, 21 security skills, 7 specialist subagents","utility","yes","TypeScript","TypeScript, esm, ts-build","","3","0","386276","377KB","2026-08-14","2026-08-14","Apache-2.0","0","unknown","yes","false","watch","readme-mentions-dsh"
"dylan121322/llm-adaptive","https://github.com/dylan121322/llm-adaptive","在模型选择器（/model）中提供 adaptive 选项：每个 LLM 请求先由 flash 分类器判难度（low / medium / high / critical），再按配置驱动的路由链自动转发到对应后端 provider。","Adds an ""adaptive"" option to the model selector (/model): each LLM request is first graded for difficulty by a flash classifier (low / medium / high / critical), then automatically forwarded along a config-driven routing chain to the corresponding backend provider.","llm","yes","JavaScript","JavaScript, esm","","3","0","23643","23KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/dsh-llm; keyword-plugin; keyword-dsh; readme-mentions-dsh"
"QWQ-nn/dsh-client-ui-trajectory-categories","https://github.com/QWQ-nn/dsh-client-ui-trajectory-categories","(无描述)","(no description)","tools","yes","JavaScript","JavaScript, esm","","3","0","62857","61KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","keyword-plugin; readme-mentions-dsh"
"pineapple880066/dsh-webUI-pets","https://github.com/pineapple880066/dsh-webUI-pets","Codex-style desktop pets for the DeepSeek Harness Web UI / 类似 Codex 的 DeepSeek Harness Web UI 桌宠","Codex-style desktop pets for the DeepSeek Harness Web UI.","utility","yes","TypeScript","TypeScript","","3","0","10287116","9.8MB","2026-08-14","2026-08-14","unknown","0","unknown","yes","false","watch","readme-mentions-dsh"
"djasdh/interest-memory","https://github.com/djasdh/interest-memory","面向 AI 智能体的轻量记忆后端——单一二进制文件、约 50MB 内存占用、带校验增强的准确性","Low-footprint memory backend for AI agents — single binary, ~50MB RAM, verify-augmented accuracy","session","yes","Go","Go","","3","0","1006254","983KB","2026-08-02","2026-08-14","MIT","0","unknown","yes","false","watch","readme-mentions-dsh"
"030611/dsh-context-provenance","https://github.com/030611/dsh-context-provenance","只读溯源账本，记录 DeepSeek Harness 运行时的公开证据","Observe-only provenance ledger over public DeepSeek Harness runtime evidence","utility","yes","TypeScript","TypeScript, dsh-session, typescript, vite, esm, ts-build","","3","0","287279","281KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","cordis.patch.yml; @deepseek-ai/cordis; @deepseek-ai/cordis-plugin-include; @deepseek-ai/cordis-plugin-loader; @deepseek-ai/dsh-agent; @deepseek-ai/dsh-cordis-host-runner; @deepseek-ai/dsh-host-plugin-inventory; @deepseek-ai/dsh-llm; @deepseek-ai/dsh-session; @deepseek-ai/dsh-session-projection; @deepseek-ai/dsh-skill; @deepseek-ai/dsh-token-meter; readme-mentions-dsh"
"ZBCs-StudioCr-CN/dsh-skill-manager","https://github.com/ZBCs-StudioCr-CN/dsh-skill-manager","(无描述)","(no description)","tools","yes","TypeScript","TypeScript","","3","0","137934","135KB","2026-08-14","2026-08-14","MIT","0","unknown","yes","false","watch","readme-mentions-dsh"
"Yuel25/dsh-desktop","https://github.com/Yuel25/dsh-desktop","DeepSeek Harness 的 Windows 桌面客户端","A Windows desktop client for DeepSeek Harness.","utility","yes","TypeScript","TypeScript, react, typescript, vite, esm, ts-build","react, react-dom","3","0","208859","204KB","2026-08-14","2026-08-14","MIT","4","unknown","yes","false","watch","keyword-plugin; keyword-dsh; readme-mentions-dsh"
